Freq.	1/I(Vin)
1.03730373037302e+05	-3.37914528010568e-03,-4.04370356529267e+00
1.03740374037402e+05	-3.38114920420658e-03,-4.04756157227911e+00
1.03750375037502e+05	-3.38315735028441e-03,-4.05142176595635e+00
1.03760376037602e+05	-3.38516972660503e-03,-4.05528415148903e+00
1.03770377037702e+05	-3.38718634146157e-03,-4.05914873405175e+00
1.03780378037802e+05	-3.38920720317456e-03,-4.06301551882910e+00
1.03790379037902e+05	-3.39123232009199e-03,-4.06688451101568e+00
1.03800380038002e+05	-3.39326170058942e-03,-4.07075571581612e+00
1.03810381038102e+05	-3.39529535307011e-03,-4.07462913844519e+00
1.03820382038202e+05	-3.39733328596503e-03,-4.07850478412771e+00
1.03830383038302e+05	-3.39937550773306e-03,-4.08238265809872e+00
1.03840384038402e+05	-3.40142202686098e-03,-4.08626276560339e+00
1.03850385038502e+05	-3.40347285186364e-03,-4.09014511189714e+00
1.03860386038602e+05	-3.40552799128403e-03,-4.09402970224565e+00
1.03870387038702e+05	-3.40758745369339e-03,-4.09791654192486e+00
1.03880388038802e+05	-3.40965124769127e-03,-4.10180563622108e+00
1.03890389038902e+05	-3.41171938190567e-03,-4.10569699043095e+00
1.03900390039002e+05	-3.41379186499312e-03,-4.10959060986149e+00
1.03910391039102e+05	-3.41586870563878e-03,-4.11348649983019e+00
1.03920392039202e+05	-3.41794991255654e-03,-4.11738466566499e+00
1.03930393039302e+05	-3.42003549448910e-03,-4.12128511270431e+00
1.03940394039402e+05	-3.42212546020812e-03,-4.12518784629713e+00
1.03950395039502e+05	-3.42421981851426e-03,-4.12909287180301e+00
1.03960396039602e+05	-3.42631857823730e-03,-4.13300019459207e+00
1.03970397039702e+05	-3.42842174823629e-03,-4.13690982004513e+00
