f,z10r,z10i
1.00860086008600e+05,-3.73451388628439e-02,-1.67362215814786e+01
1.00870087008700e+05,-3.77417835919423e-02,-1.67817378445933e+01
1.00880088008800e+05,-3.81528267465917e-02,-1.68277571202648e+01
1.00890089008900e+05,-3.85786853301401e-02,-1.68742977075195e+01
1.00900090009000e+05,-3.90197998449400e-02,-1.69213784419895e+01
1.00910091009100e+05,-3.94766354364903e-02,-1.69690187260804e+01
1.00920092009200e+05,-3.99496831226246e-02,-1.70172385606236e+01
1.00930093009300e+05,-4.04394611137442e-02,-1.70660585781267e+01
1.00940094009400e+05,-4.09465162306381e-02,-1.71155000777386e+01
1.00950095009500e+05,-4.14714254270271e-02,-1.71655850620541e+01
1.00960096009600e+05,-4.20147974246789e-02,-1.72163362758988e+01
1.00970097009700e+05,-4.25772744696019e-02,-1.72677772472352e+01
1.00980098009800e+05,-4.31595342186874e-02,-1.73199323303521e+01
1.00990099009900e+05,-4.37622917670046e-02,-1.73728267515035e+01
1.01000100010000e+05,-4.43863018269542e-02,-1.74264866571834e+01
1.01010101010100e+05,-4.50323610715092e-02,-1.74809391652310e+01
1.01020102010200e+05,-4.57013106550095e-02,-1.75362124189838e+01
1.01030103010300e+05,-4.63940389262066e-02,-1.75923356447072e+01
1.01040104010400e+05,-4.71114843497434e-02,-1.76493392125531e+01
1.01050105010500e+05,-4.78546386538202e-02,-1.77072547013187e+01
1.01060106010600e+05,-4.86245502235774e-02,-1.77661149673019e+01
1.01070107010700e+05,-4.94223277616586e-02,-1.78259542175738e+01
1.01080108010800e+05,-5.02491442396350e-02,-1.78868080880182e+01
1.01090109010901e+05,-5.11062411663310e-02,-1.79487137265171e+01
1.01100110011001e+05,-5.19949332018641e-02,-1.80117098816994e+01
1.01110111011101e+05,-5.29166131491520e-02,-1.80758369977034e+01
1.01120112011201e+05,-5.38727573580315e-02,-1.81411373154486e+01
1.01130113011301e+05,-5.48649315808871e-02,-1.82076549809567e+01
1.01140114011401e+05,-5.58947973229058e-02,-1.82754361613168e+01
1.01150115011501e+05,-5.69641187347396e-02,-1.83445291689396e+01
1.01160116011601e+05,-5.80747701007071e-02,-1.84149845948159e+01
1.01170117011701e+05,-5.92287439815933e-02,-1.84868554515606e+01
1.01180118011801e+05,-6.04281600777869e-02,-1.85601973271029e+01
1.01190119011901e+05,-6.16752748860658e-02,-1.86350685499684e+01
1.01200120012001e+05,-6.29724922318946e-02,-1.87115303672013e+01
1.01210121012101e+05,-6.43223747686514e-02,-1.87896471360747e+01
1.01220122012201e+05,-6.57276565462170e-02,-1.88694865308654e+01
1.01230123012301e+05,-6.71912567636785e-02,-1.89511197661028e+01
1.01240124012401e+05,-6.87162948350215e-02,-1.90346218378544e+01
1.01250125012501e+05,-7.03061069125862e-02,-1.91200717847767e+01
1.01260126012601e+05,-7.19642640314894e-02,-1.92075529708631e+01
1.01270127012701e+05,-7.36945920588768e-02,-1.92971533920269e+01
1.01280128012801e+05,-7.55011936558176e-02,-1.93889660089072e+01
1.01290129012901e+05,-7.73884724869059e-02,-1.94830891085601e+01
1.01300130013001e+05,-7.93611599440960e-02,-1.95796266980160e+01
1.01310131013101e+05,-8.14243446872908e-02,-1.96786889330311e+01
1.01320132013201e+05,-8.35835053458145e-02,-1.97803925857697e+01
1.01330133013301e+05,-8.58445467730912e-02,-1.98848615556172e+01
1.01340134013401e+05,-8.82138403022365e-02,-1.99922274278378e+01
1.01350135013501e+05,-9.06982685150548e-02,-2.01026300854018e+01
1.01360136013601e+05,-9.33052751117661e-02,-2.02162183799843e+01
1.01370137013701e+05,-9.60429205564019e-02,-2.03331508689337e+01
1.01380138013801e+05,-9.89199442747197e-02,-2.04535966259015e+01
1.01390139013901e+05,-1.01945834301433e-01,-2.05777361338855e+01
1.01400140014001e+05,-1.05130905413584e-01,-2.07057622706268e+01
1.01410141014101e+05,-1.08486386952568e-01,-2.08378813977109e+01
1.01420142014201e+05,-1.12024521732065e-01,-2.09743145663339e+01
1.01430143014301e+05,-1.15758677660369e-01,-2.11152988545886e+01
1.01440144014401e+05,-1.19703473979352e-01,-2.12610888533140e+01
1.01450145014501e+05,-1.23874924349050e-01,-2.14119583201406e+01
1.01460146014601e+05,-1.28290599396091e-01,-2.15682020243617e+01
1.01470147014701e+05,-1.32969811811580e-01,-2.17301378088292e+01
1.01480148014801e+05,-1.37933827645045e-01,-2.18981088992504e+01
1.01490149014901e+05,-1.43206108118426e-01,-2.20724864962272e+01
1.01500150015001e+05,-1.48812587103466e-01,-2.22536726912550e+01
1.01510151015101e+05,-1.54781990402445e-01,-2.24421037549291e+01
1.01520152015201e+05,-1.61146204186836e-01,-2.26382538539725e+01
1.01530153015301e+05,-1.67940701436962e-01,-2.28426392637672e+01
1.01540154015401e+05,-1.75205037056570e-01,-2.30558231551924e+01
1.01550155015501e+05,-1.82983424597026e-01,-2.32784210491998e+01
1.01560156015601e+05,-1.91325410333319e-01,-2.35111070503690e+01
1.01570157015701e+05,-2.00286663933075e-01,-2.37546209923357e+01
1.01580158015801e+05,-2.09929909346577e-01,-2.40097766545659e+01
1.01590159015901e+05,-2.20326025070984e-01,-2.42774712425967e+01
1.01600160016001e+05,-2.31555349941908e-01,-2.45586963642768e+01
1.01610161016101e+05,-2.43709239523194e-01,-2.48545507847365e+01
1.01620162016201e+05,-2.56891929595379e-01,-2.51662553055406e+01
1.01630163016301e+05,-2.71222777987756e-01,-2.54951701923204e+01
1.01640164016401e+05,-2.86838975142322e-01,-2.58428156747916e+01
1.01650165016501e+05,-3.03898838834698e-01,-2.62108961698486e+01
1.01660166016601e+05,-3.22585841458009e-01,-2.66013290406866e+01
1.01670167016701e+05,-3.43113562070229e-01,-2.70162789141851e+01
1.01680168016801e+05,-3.65731814040643e-01,-2.74581988506226e+01
1.01690169016901e+05,-3.90734278331177e-01,-2.79298800156665e+01
1.01700170017001e+05,-4.18468080436225e-01,-2.84345119744370e+01
1.01710171017101e+05,-4.49345897710675e-01,-2.89757563531261e+01
1.01720172017201e+05,-4.83861390797630e-01,-2.95578374549946e+01
1.01730173017301e+05,-5.22609044239491e-01,-3.01856545600342e+01
1.01740174017401e+05,-5.66309916572191e-01,-3.08649222060306e+01
1.01750175017501e+05,-6.15845399686891e-01,-3.16023469268377e+01
1.01760176017601e+05,-6.72301965074950e-01,-3.24058519862675e+01
1.01770177017701e+05,-7.37031179732705e-01,-3.32848660104211e+01
1.01780178017801e+05,-8.11731247332038e-01,-3.42506977315859e+01
1.01790179017901e+05,-8.98559366408335e-01,-3.53170283255437e+01
1.01800180018001e+05,-1.00028896242611e+00,-3.65005666728548e+01
1.01810181018101e+05,-1.12053349190529e+00,-3.78219339582293e+01
1.01820182018201e+05,-1.26407106410951e+00,-3.93068767849336e+01
1.01830183018301e+05,-1.43732527647937e+00,-4.09879600586603e+01
1.01840184018401e+05,-1.64909436939855e+00,-4.29069757728146e+01
1.01850185018501e+05,-1.91168663754438e+00,-4.51184460709715e+01
1.01860186018601e+05,-2.24274253056205e+00,-4.76948448913125e+01
1.01870187018701e+05,-2.66826157963190e+00,-5.07346028604390e+01
1.01880188018801e+05,-3.22783632989796e+00,-5.43747805318256e+01
1.01890189018901e+05,-3.98413783876547e+00,-5.88118941583235e+01
1.01900190019001e+05,-5.04109460364990e+00,-6.43376599822743e+01
1.01910191019101e+05,-6.58117015759059e+00,-7.14035673956198e+01
1.01920192019201e+05,-8.94846213928105e+00,-8.07448179762525e+01
1.01930193019301e+05,-1.28546042468510e+01,-9.36357594128614e+01
1.01940194019401e+05,-1.99644278831609e+01,-1.12459835880545e+02
1.01950195019501e+05,-3.49030282392089e+01,-1.42065456020849e+02
1.01960196019601e+05,-7.41402268172153e+01,-1.92514491607370e+02
1.01970197019701e+05,-2.17018169145881e+02,-2.63147020039998e+02
1.01980198019801e+05,-4.96087810398321e+02,4.03869125209661e+01
1.01990199019901e+05,-1.74998233461206e+02,2.24838377829994e+02
1.02000200020001e+05,-6.36775938433313e+01,1.52646550080108e+02
1.02010201020101e+05,-3.12663758704350e+01,1.06872361180753e+02
1.02020202020201e+05,-1.83326251367203e+01,7.96967597203316e+01
1.02030203020301e+05,-1.19917642920272e+01,6.21683299907183e+01
1.02040204020401e+05,-8.43857730167490e+00,5.00304474268378e+01
1.02050205020501e+05,-6.25489402881977e+00,4.11607175344140e+01
1.02060206020601e+05,-4.81948031795860e+00,3.44080105260124e+01
1.02070207020701e+05,-3.82648047124147e+00,2.91002499786969e+01
1.02080208020801e+05,-3.11145534342545e+00,2.48206939370156e+01
1.02090209020901e+05,-2.57971768636562e+00,2.12979363654405e+01
1.02100210021001e+05,-2.17366444601124e+00,1.83479410785353e+01
1.02110211021101e+05,-1.85663973875169e+00,1.58416446252599e+01
1.02120212021201e+05,-1.60442554440540e+00,1.36859262341163e+01
1.02130213021301e+05,-1.40050490845804e+00,1.18119464984163e+01
1.02140214021401e+05,-1.23330201020924e+00,1.01677373965088e+01
1.02150215021501e+05,-1.09451011132986e+00,8.71334349410450e+00
1.02160216021601e+05,-9.78043840216872e-01,7.41754741338149e+00
1.02170217021701e+05,-8.79363072591111e-01,6.25560911410628e+00
1.02180218021801e+05,-7.95025149548574e-01,5.20767137923898e+00
1.02190219021901e+05,-7.22381413087787e-01,4.25761353236354e+00
1.02200220022001e+05,-6.59367271209214e-01,3.39221316472946e+00
1.02210221022101e+05,-6.04354254439671e-01,2.60052357345343e+00
1.02220222022201e+05,-5.56044000083083e-01,1.87340488743936e+00
1.02230223022301e+05,-5.13391118616707e-01,1.20316641290283e+00
1.02240224022401e+05,-4.75546290285060e-01,5.83290619520839e-01
